#	author	work	ref	greek_form	greek_context	class	reason
1	Philo	tlg0018/tlg025	51	ἀδελφὴν	Τὴν δ' εὐσεβείας συγγενεστάτην καὶ ἀδελφὴν καὶ δίδυμον	E	Virtue-pairing: "sister" of piety, metaphorical
2	Philo	tlg0018/tlg006	61	ἀδελφὸν	ψυχαῖς ταῖς φιλοσωμάτοις ἀδελφὸν μὲν νομίζεσθαι τὸ σῶμα	E	"body considered brother" to body-loving souls — metaphorical
3	Philo	tlg0018/tlg002	3.193	ἀδελφῷ	εὐχόμενος γὰρ ὁ πατήρ σοί φησιν ὅτι "τῷ ἀδελφῷ σου δουλεύσεις"	B	Gen 27 — Isaac's blessing of Esau re Jacob, biological
4	Philo	tlg0018/tlg027	142	ἀδελφὴν	αὐτουργίαν ἐν, ἀδελφὴν ἐλευθερίας	E	Self-sufficiency as "sister of freedom" — metaphorical
5	Philo	tlg0018/tlg019	1.91	ἀδελφὸν	εἰ τὸ μετανοεῖν ἀδελφὸν νεώτερον ὂν	E	Repentance personified as a "younger brother" — metaphorical
6	Philo	tlg0018/tlg017	48	ἀδελφοῦ	θυγατέρων Λάβαν τοῦ ἀδελφοῦ τῆς μητρός σου (Gen. 28,2)	B	Gen 28:2 — Laban as biological brother of Rebekah
7	Philo	tlg0018/tlg016	44	ἀδελφὸς	Ναχὼρ μέντοι ὁ ἀδελφὸς Ἀβραάμ	B	Nahor as Abraham's biological brother (Gen)
8	Philo	tlg0018/tlg009	84	ἀδελφός	οὐκ ἀδελφός σού ἐστι	D	Deut 17:15 — "stranger who is not your brother" — covenantal/ethnic
9	Philo	tlg0018/tlg027	82	ἀδελφοὺς	ἀδελφοὺς (variant reading)	A	De Vita Contemplativa — Therapeutae voluntary ascetic community
10	Philo	tlg0018/tlg006	30	ἀδελφὸν	ἀδελφὸν γὰρ καὶ συγγενὲς αὐτοῖς	E	Rest (ἠρεμία) as "brother and kin" to descending souls — metaphorical
11	Philo	tlg0018/tlg025	140	ἀδελφοῖς	συγγενέσι καὶ ἐκ φύσεως ἀδελφοῖς τοῖς πανταχοῦ πᾶσιν	E	Universal-kinship-of-humanity idiom — philosophical metaphor
12	Philo	tlg0018/tlg024	1.112	ἀδελφοῖς	πατράσι καὶ μητράσιν, υἱοῖς καὶ θυγατράσιν, ἀδελφοῖς καὶ ἀδελφαῖς παρθένοις	B	Spec. Leg. list of biological family for incest laws
13	Philo	tlg0018/tlg005	100	ἀδελφοῦ	αἷμα τοῦ ἀδελφοῦ σου (Gen. 4,11)	B	Gen 4:11 — Abel's blood, biological
14	Philo	tlg0018/tlg024	3.14	ἀδελφόν	πατέρα τε καὶ ὁμομήτριον ἀδελφόν	B	Explicit ὁμομήτριος (same-mother) marker — biological
15	Philo	tlg0018/tlg021	237	ἀδελφοῖς	μηδὲν ὄνειδος προσβαλεῖν τοῖς ἀδελφοῖς	B	Joseph and his brothers (De Iosepho) — biological
