#	author	work	ref	greek_form	greek_context	class	reason
1	Philo	tlg0018/tlg025	51	ἀδελφὴν	Τὴν δ' εὐσεβείας συγγενεστάτην καὶ ἀδελφὴν καὶ δίδυμον	E	Virtue-pairing: "sister" of piety, metaphorical
2	Philo	tlg0018/tlg006	61	ἀδελφὸν	ψυχαῖς ταῖς φιλοσωμάτοις ἀδελφὸν μὲν νομίζεσθαι τὸ σῶμα	E	"body considered brother" to body-loving souls — metaphorical
3	Philo	tlg0018/tlg002	3.193	ἀδελφῷ	εὐχόμενος γὰρ ὁ πατήρ σοί φησιν ὅτι "τῷ ἀδελφῷ σου δουλεύσεις"	B	Gen 27 — Isaac's blessing of Esau re Jacob, biological
4	Philo	tlg0018/tlg027	142	ἀδελφὴν	αὐτουργίαν ἐν, ἀδελφὴν ἐλευθερίας	E	Self-sufficiency as "sister of freedom" — metaphorical
5	Philo	tlg0018/tlg019	1.91	ἀδελφὸν	εἰ τὸ μετανοεῖν ἀδελφὸν νεώτερον ὂν	E	Repentance personified as a "younger brother" — metaphorical
6	Philo	tlg0018/tlg017	48	ἀδελφοῦ	θυγατέρων Λάβαν τοῦ ἀδελφοῦ τῆς μητρός σου (Gen. 28,2)	B	Gen 28:2 — Laban as biological brother of Rebekah
7	Philo	tlg0018/tlg016	44	ἀδελφὸς	Ναχὼρ μέντοι ὁ ἀδελφὸς Ἀβραάμ	B	Nahor as Abraham's biological brother (Gen)
8	Philo	tlg0018/tlg009	84	ἀδελφός	οὐκ ἀδελφός σού ἐστι	D	Deut 17:15 — "stranger who is not your brother" — covenantal/ethnic
9	Philo	tlg0018/tlg027	82	ἀδελφοὺς	ἀδελφοὺς (variant reading)	A	De Vita Contemplativa — Therapeutae voluntary ascetic community
10	Philo	tlg0018/tlg006	30	ἀδελφὸν	ἀδελφὸν γὰρ καὶ συγγενὲς αὐτοῖς	E	Rest (ἠρεμία) as "brother and kin" to descending souls — metaphorical
11	Philo	tlg0018/tlg025	140	ἀδελφοῖς	συγγενέσι καὶ ἐκ φύσεως ἀδελφοῖς τοῖς πανταχοῦ πᾶσιν	E	Universal-kinship-of-humanity idiom — philosophical metaphor
12	Philo	tlg0018/tlg031	234	ἀδελφὰς	γυναῖκας οἱ γυναικοκτόνοι, ἀδελφοὺς καὶ ἀδελφὰς οἱ ἀδελφοκτόνοι, κούρους καὶ κόρας, τὴν ἄκακον ἡλικίαν, οἱ	B	bulk-classified (n=100 expansion pass)
13	Philo	tlg0018/tlg024	1.112	ἀδελφοῖς	πατράσι καὶ μητράσιν, υἱοῖς καὶ θυγατράσιν, ἀδελφοῖς καὶ ἀδελφαῖς παρθένοις	B	Spec. Leg. list of biological family for incest laws
14	Philo	tlg0018/tlg005	100	ἀδελφοῦ	αἷμα τοῦ ἀδελφοῦ σου (Gen. 4,11)	B	Gen 4:11 — Abel's blood, biological
15	Philo	tlg0018/tlg024	3.14	ἀδελφόν	πατέρα τε καὶ ὁμομήτριον ἀδελφόν	B	Explicit ὁμομήτριος (same-mother) marker — biological
16	Philo	tlg0018/tlg021	237	ἀδελφοῖς	μηδὲν ὄνειδος προσβαλεῖν τοῖς ἀδελφοῖς	B	Joseph and his brothers (De Iosepho) — biological
17	Philo	tlg0018/tlg003	52	ἀδελφοκτόνον	τὸν ἀδελφοκτόνον καὶ ἐπάρατον Κάιν	B	"Brother-killer" compound = Cain (biological, Abel)
18	Philo	tlg0018/tlg003	43	ἀδελφὸν	τὸν Ἅβελ τὸν ἀδελφὸν αὐτοῦ	B	Abel as biological brother of Cain
19	Philo	tlg0018/tlg005	126	ἀδελφός	Ἀαρὼν ὁ ἀδελφός σου ὁ Λευίτης	B	Exod 4:14 — Aaron as Moses's biological brother
20	Philo	tlg0018/tlg015	62	ἀδελφή	ἀληθῶς ἀδελφή μού ἐστιν ἐκ πατρός	B	Gen 20:12 — Sarah as Abraham's half-sister (biological)
21	Philo	tlg0018/tlg017	23	ἀδελφοῦ	ἀποστρέψαι τὸν θυμὸν καὶ τὴν ὀργὴν τοῦ ἀδελφοῦ σου	B	Rebekah on Esau's anger (Gen 27) — biological
22	Philo	tlg0018/tlg022	2.156	ἀδελφιδοῦς	ἀδελφιδοῦς GHPV2OK: ἀδελφοὺς ceteri	B	"Nephew" (compound) — biological kin via brother-relation
23	Philo	tlg0018/tlg024	3.22	ἀδελφὴν	μὴ ἀδελφὴν ἄγεσθαι γυναῖκα	B	Incest law prohibition — biological sister
24	Philo	tlg0018/tlg002	3.242	ἀδελφὰς	συγγενεῖς καὶ ἀδελφὰς ἀρετάς	E	"Sister-virtues" (peace and priesthood) — metaphorical
25	Philo	tlg0018/tlg024	2.73	ἀδελφούς	καλέσας εὐθυβόλως "ἀδελφούς"	D	Spec. Leg. — Mosaic code calling Israelites "brothers" (covenantal)
26	Philo	tlg0018/tlg014	60	ἀδελφαὶ	ἀφροσύναι καὶ ἀδικίαι καὶ αἱ τούτων συγγενεῖς καὶ ἀδελφαὶ	E	Vices personified with "sister" kin terms — metaphorical
27	Philo	tlg0018/tlg026	148	ἀδελφοὺς	τέκνα γονέων καὶ γονεῖς τέκνων καὶ ἀδελφοὺς ἀδελφῶν ὑπεριδεῖν	B	Civil strife causing biological kin to disown each other
28	Philo	tlg0018/tlg025	61	ἀδελφοῖς	ἀδελφοῖς Α τούτοις Richt. (apparatus only)	C	Critical-apparatus fragment — insufficient context
29	Philo	tlg0018/tlg026	74	ἀδελφοκτόνου	τὰ ὁρισθέντα κατὰ τοῦ πρώτου γεγονότος ἀδελφοκτόνου	B	"First brother-killer" = Cain (biological)
30	Philo	tlg0018/tlg031	87	φιλαδελφίαν	ἐμιμήσω τοὺς Διοσκούρους εἰς φιλαδελφίαν; ἵνα ἐντεῦθεν ἄρξωμαι. τὸν μὲν ἀδελφὸν καὶ συγκληρονόμον ἐν	B	bulk-classified (n=100 expansion pass)
31	Philo	tlg0018/tlg021	235	ἀδελφόν	οἰκειότητος τῆς πρὸς τὸν συκοφαντούμενον ἀδελφόν	B	Joseph's brothers — biological
32	Philo	tlg0018/tlg015	291	ἀδελφὸν	τὸ γέρως ἀδελφὸν καὶ παρώνυμον καλὸν γῆρας	E	Old age as "brother of honour" — metaphorical personification
33	Philo	tlg0018/tlg022	1.84	ἀδελφὸν	ὑποδιακονικὸν στόμα τὸν ἀδελφὸν ἕξεις	B	Moses using Aaron "the brother" as spokesman — biological
34	Philo	tlg0018/tlg024	3.14	ἀδελφαῖς	πατρὸς συνεῖναι γαμετῇ καὶ τηθίσι καὶ ἀδελφαῖς	B	Incest prohibitions — biological sisters
35	Philo	tlg0018/tlg019	1.251	ἀδελφὴν	τὴν ἀδελφὴν ἰατρικῆς	E	"Sister of medicine" (a related art) — metaphorical
36	Philo	tlg0018/tlg002	1.30	ἀδελφὸν	ἡ δὲ ὁρμή τὸ ἀδελφὸν τῆς φαντασίας	E	Impulse as "brother of imagination" — metaphorical/conceptual
